"Uptime (ms)","Used PS Old Gen","Used PS Survivor Space","Used PS Eden Space","Allocated All Pools"
"6500","0","0","6134784","127926272"
"7500","0","0","6134784","127926272"
"8500","0","0","6134784","127926272"
"9500","0","0","6134784","127926272"
"10500","0","0","6134784","127926272"
"11500","0","0","6134784","127926272"
"12500","0","0","6134784","127926272"
"13500","0","0","6134784","127926272"
"14500","0","0","6134784","127926272"
"15500","0","0","6134784","127926272"
"16500","0","0","6134784","127926272"
"17500","0","0","6134784","127926272"
"18500","0","0","6134784","127926272"
"19500","0","0","6134784","127926272"
"20500","29706240","15299584","65233920","241172480"
"21600","83938304","20957184","6394880","294649856"
"22800","145358848","1684480","2692096","376438784"
"24400","222759936","0","2921472","489160704"
"25400","292228096","5570560","2776064","487587840"
"26800","325479424","0","2664448","510132224"
"28900","357476352","8555520","3038208","510656512"
"30000","357555200","0","16687104","510656512"
"31200","357554176","0","21539840","510656512"
"32200","357554176","0","26407936","510656512"
"33300","357554176","0","30746624","510656512"
"34400","357553152","0","34820096","510656512"
"35400","357553152","0","38871040","510656512"
"36600","357553152","0","42845184","510656512"
"37700","357553152","0","46437376","510656512"
"38800","357553152","0","49957888","510656512"
"39900","357553152","0","53403648","510656512"
"41000","357553152","0","56548352","510656512"
"42100","357553152","0","59630592","510656512"
"43300","357553152","0","62619648","510656512"
"44400","357553152","0","65392640","510656512"
"45600","357553152","0","68062208","510656512"
"46800","357553152","0","70646784","510656512"
"48300","357553152","0","73091072","510656512"
"49400","357553152","0","75415552","510656512"
"50700","357553152","0","77651968","510656512"
"52000","357553152","0","79798272","510656512"
"53500","357553152","0","81837056","510656512"
"54700","357553152","0","83763200","510656512"
"55800","357553152","0","85626880","510656512"
"57000","357553152","0","87413760","510656512"
"58200","357553152","0","89096192","510656512"
"59400","357553152","0","90721280","510656512"
"60600","357553152","0","92279808","510656512"
"61800","357553152","0","93744128","510656512"
"63000","357553152","0","95160320","510656512"
"64200","357553152","0","96521216","510656512"
"65400","357553152","0","97796096","510656512"
"66600","357553152","0","99025920","510656512"
"67900","357553152","0","100217856","510656512"
"69200","357553152","0","101322752","510656512"
"70400","357553152","0","102398976","510656512"
"72800","357553152","0","103442432","510656512"
"74400","357491712","0","105336832","510656512"
"75700","357491712","0","106233856","510656512"
"76900","357491712","0","107100160","510656512"
"78100","357491712","0","107901952","510656512"
"79400","357491712","0","108692480","510656512"
"80600","357491712","0","109420544","510656512"
"81900","357491712","0","110134272","510656512"
"90200","357491712","0","110828544","510656512"
"90500","357484544","0","110960640","510656512"
"91200","12065792","24246272","2011136","494927872"
"92200","52247552","39006208","52274176","482344960"
"93200","86588416","46123008","1200128","477102080"
"94300","121816064","50981888","1257472","471334912"
"95300","164974592","40763392","1235968","477102080"
"96300","206114816","51601408","1240064","477626368"
"97300","287879168","10846208","1198080","477102080"
"99800","338033664","0","1196032","477102080"
"101600","350492672","0","1204224","477102080"
"102800","353167360","0","1204224","477102080"
"104700","357550080","0","2190336","477102080"
"106600","357532672","0","7310336","477102080"
"108500","357532672","0","11934720","477102080"
"110500","357532672","0","16132096","477102080"
"111500","357532672","0","18088960","477102080"
"113400","357532672","0","21758976","477102080"
"115400","357532672","0","25074688","477102080"
"117400","357532672","0","28127232","477102080"
